Gene,bonferroni,sidak,holm-sidak,simes-hochberg,hommel,fdr_tsbky
39872,1.50456734759e-10,1.50291779022e-10,1.50291779022e-10,1.50456734759e-10,1.49740077234e-10,5.48446107125e-12
39873,1.50562998136e-10,1.50291779022e-10,1.50291779022e-10,1.50549206527e-10,1.49845834455e-10,5.48446107125e-12
39874,1.50562998136e-10,1.50291779022e-10,1.50291779022e-10,1.50549206527e-10,1.49845834455e-10,5.48446107125e-12
39875,1.50722524657e-10,1.50291779022e-10,1.50291779022e-10,1.50701815324e-10,1.50004601117e-10,5.48446107125e-12
39876,1.5077573524e-10,1.50291779022e-10,1.50291779022e-10,1.50734301952e-10,1.50050652699e-10,5.48446107125e-12
39877,1.5077573524e-10,1.50291779022e-10,1.50291779022e-10,1.50734301952e-10,1.50050652699e-10,5.48446107125e-12
39878,1.5077573524e-10,1.50291779022e-10,1.50291779022e-10,1.50734301952e-10,1.50050652699e-10,5.48446107125e-12
39879,1.62272031921e-10,1.62412083782e-10,1.62360014322e-10,1.62220007362e-10,1.61461935215e-10,5.48446107125e-12
39880,1.62615228297e-10,1.62412083782e-10,1.62360014322e-10,1.6255564591e-10,1.61803418281e-10,5.48446107125e-12
39881,1.7518342293e-10,1.74532388542e-10,1.7446044609e-10,1.75111212121e-10,1.74276776104e-10,5.48446107125e-12
39882,1.75244965029e-10,1.74532388542e-10,1.7446044609e-10,1.7516470261e-10,1.74337999697e-10,5.48446107125e-12
40056,1.75306527315e-10,1.74532388542e-10,1.7446044609e-10,1.7521820764e-10,1.74399243373e-10,5.48446107125e-12
40057,1.88838717228e-10,1.89076754253e-10,1.88972837378e-10,1.88734931178e-10,1.87826803245e-10,5.48446107125e-12
40058,2.03539865859e-10,2.03621119965e-10,2.03499883611e-10,2.03409355732e-10,2.02411885472e-10,5.48446107125e-12
40059,2.03539865859e-10,2.03621119965e-10,2.03499883611e-10,2.03409355732e-10,2.02411885472e-10,5.48446107125e-12
40060,2.19289035955e-10,2.18165485677e-10,2.18015605569e-10,2.19138383965e-10,2.18033602709e-10,5.48446107125e-12
40061,2.36153539686e-10,2.35133912341e-10,2.34961605727e-10,2.35980485887e-10,2.34769109298e-10,5.48446107125e-12
40062,2.3656455615e-10,2.37557973293e-10,2.37373010137e-10,2.36380366471e-10,2.35177716213e-10,5.48446107125e-12
40063,2.54734211872e-10,2.54526399956e-10,2.54316567805e-10,2.54524208399e-10,2.53205853268e-10,5.48446107125e-12
40064,2.5491101608e-10,2.54526399956e-10,2.54316567805e-10,2.54689191893e-10,2.53381596683e-10,5.48446107125e-12
40065,2.54999461111e-10,2.54526399956e-10,2.54316567805e-10,2.54765880951e-10,2.5346951106e-10,5.48446107125e-12
40066,2.9569765045e-10,2.9573543614e-10,2.95450997001e-10,2.95413247654e-10,2.93828717787e-10,5.48446107125e-12
40067,2.959018684e-10,2.9573543614e-10,2.95450997001e-10,2.95603716842e-10,2.94031644994e-10,5.48446107125e-12
40069,2.96004026694e-10,2.9573543614e-10,2.95450997001e-10,2.95692215179e-10,2.94133157605e-10,5.48446107125e-12
40070,3.18433864989e-10,3.17551984708e-10,3.17202930589e-10,3.18083841504e-10,3.16362892706e-10,5.48446107125e-12
544988,3.18653243336e-10,3.17551984708e-10,3.17202930589e-10,3.18288384351e-10,3.165808443e-10,5.48446107125e-12
677156,3.18762985351e-10,3.17551984708e-10,3.17202930589e-10,3.18383401325e-10,3.16689872595e-10,5.48446107125e-12
100043387,3.43359037758e-10,3.44216655179e-10,3.43790995672e-10,3.42934438783e-10,3.41047332228e-10,5.48446107125e-12
0610007C21Rik,3.69439303659e-10,3.68457264699e-10,3.6798475378e-10,3.68965533369e-10,3.66833567066e-10,5.48446107125e-12
0610007L01Rik,3.69565908705e-10,3.68457264699e-10,3.6798475378e-10,3.6907504989e-10,3.66959279139e-10,5.48446107125e-12
0610007P08Rik,3.83397539954e-10,3.83001630411e-10,3.82475384697e-10,3.82870750259e-10,3.80640673884e-10,5.48446107125e-12
0610007P14Rik,3.97466316885e-10,3.97545996123e-10,3.96981558737e-10,3.96901992628e-10,3.94553675559e-10,5.48446107125e-12
0610007P22Rik,3.98010093647e-10,3.97545996123e-10,3.96981558737e-10,3.97426768421e-10,3.95093467514e-10,5.48446107125e-12
0610008F07Rik,3.98146146129e-10,3.97545996123e-10,3.96981558737e-10,3.97544386359e-10,3.95228523001e-10,5.48446107125e-12
0610009B14Rik,4.28750611434e-10,4.29058788498e-10,4.28390656282e-10,4.28082959112e-10,4.25490897158e-10,5.57982613197e-12
0610009B22Rik,4.28896802307e-10,4.29058788498e-10,4.28390656282e-10,4.28209278808e-10,4.25635976568e-10,5.57982613197e-12
0610009D07Rik,4.96387920538e-10,4.96932495153e-10,4.96113150561e-10,4.95569473843e-10,4.92363890954e-10,5.80990324986e-12
0610009L18Rik,4.96724818323e-10,4.96932495153e-10,4.96113150561e-10,4.95883066089e-10,4.92698057636e-10,5.80990324986e-12
0610009O20Rik,5.1557288746e-10,5.16324982769e-10,5.15426368253e-10,5.14675581894e-10,5.11346105979e-10,5.80990324986e-12
0610010F05Rik,5.34399690571e-10,5.33293409433e-10,5.32340838078e-10,5.33420667596e-10,5.29945136037e-10,5.80990324986e-12
0610010K06Rik,5.34399690571e-10,5.33293409433e-10,5.32340838078e-10,5.33420667596e-10,5.29945136037e-10,5.80990324986e-12
0610010K14Rik,5.35123491325e-10,5.35717470385e-10,5.34711497302e-10,5.3411863362e-10,5.30662903461e-10,5.80990324986e-12
0610010O12Rik,5.75075710866e-10,5.74502445616e-10,5.73397329617e-10,5.73969492131e-10,5.70176742183e-10,5.80990324986e-12
0610011F06Rik,5.75852664768e-10,5.76926506568e-10,5.75790304325e-10,5.74718577354e-10,5.70947077352e-10,5.80990324986e-12
0610011L14Rik,5.76241508134e-10,5.76926506568e-10,5.75790304325e-10,5.75080262996e-10,5.7133260823e-10,5.80990324986e-12
0610012G03Rik,6.18792462194e-10,6.18135542751e-10,6.16861561831e-10,6.17517127358e-10,6.1340771511e-10,5.80990324986e-12
0610012H03Rik,6.19626395428e-10,6.20559603703e-10,6.1925220507e-10,6.18320962882e-10,6.14234391437e-10,5.80990324986e-12
0610025J13Rik,6.19835042151e-10,6.20559603703e-10,6.1925220507e-10,6.18500781504e-10,6.14441222512e-10,5.80990324986e-12
0610030E20Rik,6.20043754279e-10,6.20559603703e-10,6.1925220507e-10,6.18680646273e-10,6.14648118422e-10,5.80990324986e-12
0610031J06Rik,6.2025253183e-10,6.20559603703e-10,6.1925220507e-10,6.18860557201e-10,6.14855079185e-10,5.80990324986e-12
0610037D15Rik,6.66891918221e-10,6.66616761791e-10,6.65090205132e-10,6.65364731452e-10,6.60966433557e-10,5.93757074784e-12
0610037L13Rik,6.67339982291e-10,6.66616761791e-10,6.65090205132e-10,6.65781205196e-10,6.61410516478e-10,5.93757074784e-12
0610037P05Rik,6.91140556786e-10,6.9085737131e-10,6.89212020788e-10,6.89494531827e-10,6.84936308864e-10,5.93757074784e-12
0610040B10Rik,7.17697497443e-10,7.17522041782e-10,7.15780323901e-10,7.1595535366e-10,7.11189111234e-10,5.93757074784e-12
0610040J01Rik,7.18178480395e-10,7.17522041782e-10,7.15780323901e-10,7.16402276404e-10,7.11665732428e-10,5.93757074784e-12
0910001L09Rik,7.72045201477e-10,7.70851382725e-10,7.68909602655e-10,7.700650544e-10,7.64796448784e-10,5.93757074784e-12
1100001E04Rik,7.72045201477e-10,7.70851382725e-10,7.68909602655e-10,7.700650544e-10,7.64796448784e-10,5.93757074784e-12
