Phenotype description	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Ensembl Gene ID
	192745571	192745686	Gm22265	predicted gene, 22265 [Source:MGI Symbol;Acc:MGI:5452042]	ENSMUSG00000094131
	191772721	191772834	Gm26203	predicted gene, 26203 [Source:MGI Symbol;Acc:MGI:5455980]	ENSMUSG00000064845
	191998554	191998634	Mir3473c	microRNA 3473c [Source:MGI Symbol;Acc:MGI:4950389]	ENSMUSG00000093003
	191717834	191784255	Lpgat1	lysophosphatidylglycerol acyltransferase 1 [Source:MGI Symbol;Acc:MGI:2446186]	ENSMUSG00000026623
	191790983	191791314	Gm20203	predicted gene, 20203 [Source:MGI Symbol;Acc:MGI:5012388]	ENSMUSG00000102596
	191820370	191821993	Gm38037	predicted gene, 38037 [Source:MGI Symbol;Acc:MGI:5611265]	ENSMUSG00000102840
blastocyst development	191821444	191833050	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol;Acc:MGI:109359]	ENSMUSG00000026622
chromosome localization to nuclear envelope involved in homologous chromosome segregation	191821444	191833050	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol;Acc:MGI:109359]	ENSMUSG00000026622
mitotic sister chromatid segregation	191821444	191833050	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol;Acc:MGI:109359]	ENSMUSG00000026622
abnormal mitotic spindle assembly checkpoint	191821444	191833050	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol;Acc:MGI:109359]	ENSMUSG00000026622
hypoactivity	191821444	191833050	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol;Acc:MGI:109359]	ENSMUSG00000026622
hypoactivity	191821444	191833050	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2 [Source:MGI Symbol;Acc:MGI:109359]	ENSMUSG00000026622
cellular zinc ion homeostasis	191906767	191913247	Slc30a1	solute carrier family 30 (zinc transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345281]	ENSMUSG00000037434
in utero embryonic development	191906767	191913247	Slc30a1	solute carrier family 30 (zinc transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345281]	ENSMUSG00000037434
embryonic growth arrest	191906767	191913247	Slc30a1	solute carrier family 30 (zinc transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345281]	ENSMUSG00000037434
embryonic lethality during organogenesis complete penetrance	191906767	191913247	Slc30a1	solute carrier family 30 (zinc transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345281]	ENSMUSG00000037434
	191886130	191907527	1700034H15Rik	RIKEN cDNA 1700034H15 gene [Source:MGI Symbol;Acc:MGI:1921515]	ENSMUSG00000055833
retina development in camera-type eye	191977370	191988283	Rd3	retinal degeneration 3 [Source:MGI Symbol;Acc:MGI:1921273]	ENSMUSG00000049353
