ENSMUSG00000089409	predicted gene, 24884 [Source:MGI Symbol;Acc:MGI:5454661]			Gm24884
ENSMUSG00000077607	predicted gene, 25803 [Source:MGI Symbol;Acc:MGI:5455580]			Gm25803
ENSMUSG00000064687	predicted gene, 25811 [Source:MGI Symbol;Acc:MGI:5455588]			Gm25811
ENSMUSG00000077597	predicted gene, 26017 [Source:MGI Symbol;Acc:MGI:5455794]			Gm26017
ENSMUSG00000096801	predicted gene, 23412 [Source:MGI Symbol;Acc:MGI:5453189]			Gm23412
ENSMUSG00000092661	predicted gene, 22402 [Source:MGI Symbol;Acc:MGI:5452179]			Gm22402
ENSMUSG00000099334	predicted gene, 26379 [Source:MGI Symbol;Acc:MGI:5456156]			Gm26379
ENSMUSG00000081048	predicted gene 11760 [Source:MGI Symbol;Acc:MGI:3651479]			Gm11760
ENSMUSG00000083767	predicted gene 11405 [Source:MGI Symbol;Acc:MGI:3651226]			Gm11405
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	increased circulating serum albumin level	C57BL/6NTac	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	increased circulating calcium level	C57BL/6NTac	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	increased B cell number	C57BL/6NTac	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased hematocrit	C57BL/6N	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased hemoglobin content	C57BL/6N	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased body weight	C57BL/6NTac	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased body weight	C57BL/6N	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased thermal nociceptive threshold	C57BL/6N	Kdm4c
