Phenotype description	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Ensembl Gene ID
	70878078	71393284	Gm26561	predicted gene, 26561 [Source:MGI Symbol;Acc:MGI:5477055]	ENSMUSG00000097625
	71019521	71126856	Myom1	myomesin 1 [Source:MGI Symbol;Acc:MGI:1341430]	ENSMUSG00000024049
	71781947	71858351	Clip4	CAP-GLY domain containing linker protein family, member 4 [Source:MGI Symbol;Acc:MGI:1919100]	ENSMUSG00000024059
	71640879	71640956	Snord53	small nucleolar RNA, C/D box 53 [Source:MGI Symbol;Acc:MGI:3819542]	ENSMUSG00000092887
	71506436	71506543	Gm23115	predicted gene, 23115 [Source:MGI Symbol;Acc:MGI:5452892]	ENSMUSG00000089105
abnormal response to injury	71252176	71310965	Emilin2	elastin microfibril interfacer 2 [Source:MGI Symbol;Acc:MGI:2389136]	ENSMUSG00000024053
abnormal blood coagulation	71252176	71310965	Emilin2	elastin microfibril interfacer 2 [Source:MGI Symbol;Acc:MGI:2389136]	ENSMUSG00000024053
decreased platelet aggregation	71252176	71310965	Emilin2	elastin microfibril interfacer 2 [Source:MGI Symbol;Acc:MGI:2389136]	ENSMUSG00000024053
Sertoli cell hypoplasia	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
decreased circulating testosterone level	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
small testis	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
increased testis apoptosis	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
abnormal hypothalamus secretion	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
delayed male fertility	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
delayed sexual maturation	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
slow postnatal weight gain	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
delayed balanopreputial separation	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
abnormal seminiferous tubule morphology	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
decreased body weight	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
abnormal male germ cell morphology	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
decreased testis weight	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
abnormal sperm number	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
abnormal hypothalamus morphology	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
increased alcohol consumption	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
enhanced behavioral response to alcohol	71869442	72603709	Alk	anaplastic lymphoma kinase [Source:MGI Symbol;Acc:MGI:103305]	ENSMUSG00000055471
	71641584	71641659	Gm22858	predicted gene, 22858 [Source:MGI Symbol;Acc:MGI:5452635]	ENSMUSG00000092713
	71631281	71631365	Snord92	small nucleolar RNA, C/D box 92 [Source:MGI Symbol;Acc:MGI:3819565]	ENSMUSG00000093289
	71616215	71659031	Wdr43	WD repeat domain 43 [Source:MGI Symbol;Acc:MGI:1919765]	ENSMUSG00000041057
photoreceptor cell outer segment organization	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
protein localization to photoreceptor outer segment	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
disorganized photoreceptor outer segment	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
abnormal rod electrophysiology	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
abnormal retinal pigment epithelium morphology	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
retinal cone cell degeneration	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
abnormal electroretinogram waveform feature	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
